Category: All categories

Region,therapy: (2012)
Arizona,100
New Mexico,99
Pennsylvania,98
Rhode Island,95
Wyoming,95
Idaho,95
Maine,95
Oregon,94
Utah,94
Colorado,93
Arkansas,93
Washington,93
Iowa,92
Connecticut,91
New Hampshire,91
South Carolina,90
Nebraska,90
Oklahoma,89
Vermont,89
North Dakota,89
Massachusetts,88
Maryland,88
Virginia,88
Montana,87
Delaware,87
New Jersey,86
North Carolina,85
Wisconsin,85
South Dakota,85
West Virginia,84
Louisiana,83
Indiana,83
Tennessee,82
New York,82
Mississippi,81
Florida,80
Kentucky,80
Ohio,79
Nevada,78
Minnesota,78
California,78
Alaska,77
Missouri,76
Alabama,75
Hawaii,73
Illinois,73
District of Columbia,72
Kansas,72
Texas,71
Georgia,70
Michigan,70
