Category: All categories

Region,trauma: (2008)
West Virginia,100
New Mexico,92
Maryland,89
Vermont,77
Wyoming,73
Massachusetts,72
Alaska,69
New Hampshire,67
Maine,67
North Dakota,67
Pennsylvania,66
Tennessee,65
Colorado,65
Indiana,64
Nebraska,64
South Dakota,63
Alabama,63
Oregon,62
Arizona,61
Delaware,61
Hawaii,60
Missouri,60
Connecticut,59
Minnesota,59
Kentucky,58
Michigan,58
Montana,57
Rhode Island,57
Ohio,56
Louisiana,56
Mississippi,55
Arkansas,55
District of Columbia,54
Florida,54
South Carolina,54
Illinois,53
Virginia,53
Nevada,52
Washington,52
North Carolina,51
Oklahoma,50
Texas,50
Iowa,49
Wisconsin,49
Kansas,49
New Jersey,48
California,45
Utah,45
New York,45
Georgia,45
Idaho,42
