Category: All categories

Region,trauma: (2006)
West Virginia,100
Maryland,88
Alaska,87
Vermont,84
Wyoming,83
New Mexico,76
North Dakota,72
Pennsylvania,66
Tennessee,66
Oregon,65
District of Columbia,64
Mississippi,64
Massachusetts,64
Montana,64
Wisconsin,62
Colorado,61
Rhode Island,60
Arkansas,60
Hawaii,59
Missouri,59
Kentucky,59
Connecticut,58
Ohio,58
Alabama,58
Iowa,57
South Dakota,57
Oklahoma,57
Delaware,56
Virginia,56
Kansas,56
North Carolina,55
Michigan,55
South Carolina,55
New Hampshire,55
Arizona,54
Louisiana,53
Washington,53
Indiana,52
New York,52
Nebraska,51
Maine,50
Illinois,50
Idaho,50
Texas,49
Utah,47
Florida,47
California,46
Minnesota,46
New Jersey,45
Georgia,44
Nevada,42
