Category: All categories

Region,trauma: (2009)
Vermont,100
Maryland,87
West Virginia,84
New Mexico,84
Delaware,81
South Dakota,79
Wyoming,77
Oregon,72
Tennessee,70
Connecticut,69
Montana,67
New Hampshire,66
Pennsylvania,66
Massachusetts,65
South Carolina,64
Colorado,64
Alaska,63
Arizona,63
Ohio,63
Nebraska,62
Idaho,61
Nevada,60
Oklahoma,60
District of Columbia,60
California,60
Maine,60
Indiana,59
North Carolina,58
Kentucky,58
Hawaii,58
Rhode Island,57
Missouri,57
Alabama,57
Michigan,56
Iowa,56
Louisiana,56
Washington,55
North Dakota,55
Wisconsin,55
Arkansas,54
Mississippi,53
Kansas,53
Minnesota,52
Illinois,52
Florida,51
New Jersey,51
Texas,51
Georgia,50
New York,49
Utah,47
Virginia,44
