Category: All categories

Region,hospital visit: (2010)
Mississippi,100
Delaware,
Vermont,
Oklahoma,69
Alaska,
Maryland,66
Kentucky,57
Colorado,54
Rhode Island,54
South Carolina,51
Connecticut,51
District of Columbia,
Hawaii,
Massachusetts,42
Pennsylvania,39
Wisconsin,39
New York,36
Texas,36
Florida,36
Arizona,36
Oregon,36
Illinois,36
New Jersey,33
Georgia,33
Ohio,30
Washington,30
Minnesota,30
Louisiana,30
Kansas,27
Iowa,27
Missouri,27
Michigan,24
Alabama,18
California,18
Virginia,15
North Carolina,15
Indiana,12
Arkansas,
Idaho,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
South Dakota,
Tennessee,
Utah,
West Virginia,
Wyoming,
