Category: All categories

Region,hospital visit: (2006)
Vermont,
Nevada,100
Maine,
Idaho,
Louisiana,63
Minnesota,36
Kansas,34
Colorado,27
Michigan,25
Ohio,25
Wisconsin,25
New York,22
Pennsylvania,20
Missouri,20
Maryland,20
Illinois,18
Georgia,15
Arizona,13
Virginia,11
California,9
New Jersey,9
Massachusetts,6
Texas,4
Alaska,
Alabama,
Arkansas,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Indiana,
Kentucky,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Washington,
West Virginia,
Wyoming,
