Category: All categories

Region,hospital visit: (2016)
Kentucky,100
South Dakota,
Delaware,
New Jersey,92
Hawaii,
Virginia,84
Massachusetts,84
Pennsylvania,80
Nebraska,80
North Carolina,76
Connecticut,76
New York,76
Florida,76
Indiana,76
District of Columbia,
Tennessee,73
Ohio,73
Mississippi,73
Maryland,69
New Hampshire,69
Illinois,69
Kansas,69
New Mexico,69
Rhode Island,69
Georgia,69
Oklahoma,65
Wisconsin,65
Arizona,65
Oregon,65
Louisiana,65
Idaho,
California,65
Colorado,61
Utah,61
Missouri,61
Michigan,61
Texas,61
Arkansas,57
South Carolina,57
Alabama,53
Washington,53
Minnesota,53
Iowa,50
Nevada,46
Montana,
Maine,
Alaska,
West Virginia,26
North Dakota,
Vermont,
Wyoming,
