Category: All categories

Region,hospital visit: (2019)
Idaho,
Montana,
Rhode Island,100
Maryland,96
Connecticut,90
Illinois,90
Massachusetts,90
Pennsylvania,90
New Jersey,86
Virginia,86
New Hampshire,86
Arizona,86
Hawaii,
Indiana,83
District of Columbia,
West Virginia,80
Delaware,
Nebraska,80
Florida,80
North Carolina,80
Michigan,80
Alabama,76
Ohio,76
Georgia,76
Missouri,76
Vermont,
New York,73
California,73
Minnesota,73
Maine,
Kentucky,73
South Carolina,73
Texas,70
Oregon,70
Nevada,66
Kansas,66
Utah,66
Washington,66
New Mexico,63
Tennessee,63
Wisconsin,63
Colorado,63
Iowa,60
South Dakota,
Louisiana,53
Oklahoma,53
Mississippi,53
Arkansas,50
North Dakota,
Alaska,
Wyoming,
