Category: All categories

Region,hospital visit: (2007)
Delaware,
North Dakota,
Montana,
Alaska,
New Mexico,100
Oklahoma,83
Arkansas,72
Nevada,70
Virginia,56
Kentucky,45
Tennessee,43
Indiana,40
Wisconsin,32
Washington,27
Utah,27
New York,27
Pennsylvania,27
District of Columbia,
Arizona,21
Missouri,21
South Carolina,21
Ohio,18
Maryland,18
New Jersey,16
Texas,16
Connecticut,16
Michigan,16
California,16
Georgia,13
Colorado,13
Massachusetts,13
Minnesota,13
Illinois,13
Florida,10
North Carolina,10
Alabama,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Maine,
Mississippi,
Nebraska,
New Hampshire,
Oregon,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
