Category: All categories

Region,hospital visit: (2015)
Hawaii,
North Dakota,
Arkansas,100
Idaho,
Rhode Island,96
New Jersey,88
Delaware,
Maine,
Massachusetts,85
Pennsylvania,85
Kentucky,85
Montana,
District of Columbia,
Nevada,77
New York,77
Ohio,74
Michigan,74
Illinois,74
Indiana,74
Kansas,66
California,66
Minnesota,66
Florida,66
Tennessee,66
North Carolina,66
Missouri,62
Mississippi,62
Arizona,62
Connecticut,62
Vermont,
Iowa,59
Texas,55
Maryland,55
Louisiana,55
South Carolina,55
Alabama,55
Utah,55
Washington,55
New Mexico,55
Virginia,55
New Hampshire,51
Wisconsin,51
South Dakota,
Colorado,48
Georgia,48
Nebraska,44
West Virginia,44
Oklahoma,40
Oregon,33
Alaska,
Wyoming,
