Category: All categories

Region,hospital visit: (2021)
Rhode Island,100
Wyoming,
Maine,
Connecticut,72
Delaware,
Indiana,68
New Hampshire,68
New Jersey,65
Michigan,65
Massachusetts,65
Maryland,61
Vermont,
Nebraska,61
North Carolina,61
Virginia,59
New York,59
Georgia,59
Ohio,59
Idaho,
Missouri,59
Louisiana,59
New Mexico,56
Pennsylvania,56
Florida,56
Nevada,56
Arizona,56
Iowa,56
Arkansas,56
Washington,56
South Carolina,56
Illinois,56
West Virginia,54
Colorado,54
District of Columbia,
South Dakota,
Tennessee,54
Texas,54
California,52
Mississippi,52
Kentucky,50
Oklahoma,50
North Dakota,
Oregon,47
Alabama,47
Minnesota,45
Kansas,43
Hawaii,
Wisconsin,43
Utah,34
Montana,
Alaska,
