Category: All categories

Region,drugs: (2007)
Hawaii,100
West Virginia,97
Vermont,95
Delaware,91
Arkansas,91
Washington,88
Wyoming,87
South Dakota,87
Alabama,87
Mississippi,86
Louisiana,85
North Carolina,85
California,84
New Mexico,82
Kentucky,82
North Dakota,82
Montana,81
South Carolina,81
Iowa,81
Nevada,80
Michigan,80
Pennsylvania,80
Kansas,79
New York,79
Florida,78
Indiana,77
Maine,77
Alaska,77
Tennessee,76
Oklahoma,76
Ohio,76
New Hampshire,74
Georgia,73
Idaho,73
Rhode Island,72
New Jersey,72
Nebraska,71
Connecticut,70
Texas,70
Illinois,69
Utah,69
Missouri,68
Massachusetts,68
Wisconsin,66
Maryland,66
Virginia,64
Arizona,63
Oregon,62
Minnesota,60
Colorado,58
District of Columbia,55
