Category: All categories

Region,drugs: (2021)
Hawaii,100
Vermont,95
Mississippi,39
Alabama,35
Kentucky,30
New York,29
Washington,29
Louisiana,29
West Virginia,28
Tennessee,28
Arkansas,26
Georgia,25
Indiana,24
North Carolina,24
New Jersey,23
North Dakota,23
Missouri,23
Ohio,23
South Carolina,23
Kansas,23
Massachusetts,22
New Mexico,22
Maryland,22
Arizona,22
Oregon,22
Pennsylvania,22
Florida,22
Illinois,22
Virginia,21
South Dakota,21
Connecticut,21
Wyoming,21
Oklahoma,21
Iowa,21
Alaska,21
Minnesota,21
Colorado,21
Wisconsin,20
Nebraska,20
Maine,20
Michigan,20
Montana,20
New Hampshire,20
Texas,20
Utah,20
District of Columbia,20
Delaware,19
Nevada,19
Idaho,19
California,19
Rhode Island,19
