Category: All categories

Region,drugs: (2011)
Hawaii,100
Vermont,72
West Virginia,63
Mississippi,63
Kentucky,61
Louisiana,59
Pennsylvania,56
Alabama,54
Tennessee,54
Michigan,54
Washington,54
South Carolina,53
Indiana,53
New Jersey,52
South Dakota,51
Connecticut,51
Illinois,51
Delaware,51
Florida,51
Ohio,51
Montana,50
Rhode Island,50
North Carolina,50
Wisconsin,50
Arkansas,49
Maine,49
Arizona,49
Georgia,49
North Dakota,49
Iowa,49
Maryland,48
Massachusetts,48
New York,48
Oregon,48
Wyoming,48
Missouri,47
New Mexico,47
New Hampshire,47
Kansas,47
Virginia,47
California,46
Oklahoma,46
District of Columbia,46
Minnesota,45
Idaho,45
Nevada,44
Colorado,43
Utah,43
Texas,42
Nebraska,42
Alaska,40
