Category: All categories

Region,drugs: (2005)
West Virginia,100
Kentucky,93
Wyoming,91
Mississippi,90
Vermont,90
Hawaii,88
South Dakota,86
Arkansas,85
North Dakota,82
Louisiana,81
Indiana,80
New Mexico,79
Pennsylvania,79
Montana,79
California,79
Alabama,78
Rhode Island,78
Alaska,78
Nevada,78
Tennessee,77
New Hampshire,77
Maine,75
Iowa,74
South Carolina,72
Arizona,72
Oklahoma,72
Connecticut,71
Florida,71
Wisconsin,71
Illinois,70
Kansas,70
Delaware,69
Nebraska,69
North Carolina,69
Utah,68
Oregon,68
Washington,68
Michigan,68
New York,67
Missouri,67
Minnesota,66
Idaho,66
Texas,64
Ohio,63
New Jersey,63
Georgia,62
Maryland,61
Colorado,61
District of Columbia,60
Massachusetts,56
Virginia,53
