Category: All categories

Region,drugs: (2006)
Mississippi,100
West Virginia,96
Hawaii,92
Arkansas,91
Kentucky,90
Alabama,88
New Mexico,87
Louisiana,85
North Dakota,84
Indiana,82
California,82
Pennsylvania,81
South Dakota,80
Vermont,79
Rhode Island,79
Maine,78
Wyoming,78
North Carolina,78
Tennessee,77
Nevada,76
Kansas,76
Nebraska,76
Michigan,76
Georgia,75
Oklahoma,74
Ohio,74
Delaware,74
Florida,74
New Jersey,73
Connecticut,73
Iowa,73
Idaho,72
Washington,72
Montana,71
South Carolina,71
Oregon,71
Texas,70
Wisconsin,69
Utah,69
New Hampshire,68
New York,68
Maryland,67
Illinois,67
Arizona,67
Missouri,67
Minnesota,65
Massachusetts,64
Alaska,64
District of Columbia,62
Colorado,61
Virginia,61
