Category: All categories

Region,drugs: (2004)
Kentucky,100
Arkansas,94
South Dakota,93
Hawaii,92
Montana,92
West Virginia,90
Wyoming,90
Mississippi,88
Louisiana,87
Idaho,86
Nebraska,85
Maine,82
Indiana,79
Iowa,79
Connecticut,76
New Mexico,75
Vermont,74
Kansas,74
Alabama,74
Missouri,73
North Carolina,73
Tennessee,73
New York,72
Arizona,71
Wisconsin,71
Nevada,70
Oklahoma,70
Minnesota,70
South Carolina,69
New Jersey,69
North Dakota,69
Michigan,69
California,69
Colorado,68
Rhode Island,67
Delaware,67
New Hampshire,67
Pennsylvania,67
Washington,66
Georgia,66
Texas,65
Utah,65
Maryland,64
Ohio,63
Oregon,63
Alaska,62
Illinois,62
Florida,61
Massachusetts,60
District of Columbia,59
Virginia,55
