Category: All categories

Region,drugs: (2009)
Hawaii,100
Washington,91
West Virginia,90
Vermont,86
Mississippi,83
Delaware,82
Wyoming,80
Georgia,77
Arkansas,77
Pennsylvania,77
Michigan,75
New Mexico,74
South Dakota,73
Kentucky,73
North Carolina,73
Louisiana,72
Florida,72
North Dakota,71
Ohio,71
Alabama,71
Illinois,71
Maryland,71
Indiana,70
Tennessee,70
Iowa,69
Arizona,69
Nebraska,69
Missouri,69
Oklahoma,69
Idaho,67
New York,67
Montana,67
South Carolina,67
Massachusetts,66
Kansas,65
Wisconsin,65
Minnesota,65
New Jersey,65
Texas,64
Nevada,64
New Hampshire,64
Alaska,64
Maine,63
Connecticut,63
Rhode Island,63
District of Columbia,62
Utah,61
Colorado,60
Oregon,59
California,56
Virginia,40
