Category: All categories

Region,Suicide hotline: (2008)
North Dakota,100
South Carolina,72
Delaware,66
Hawaii,61
Rhode Island,59
Utah,58
Oregon,53
Iowa,52
South Dakota,52
Vermont,50
Colorado,50
Arizona,46
Missouri,46
Wisconsin,45
Nevada,43
Texas,42
Washington,41
Ohio,41
Illinois,39
Minnesota,38
Maryland,37
New York,37
Connecticut,36
District of Columbia,36
New Hampshire,35
Nebraska,34
North Carolina,34
Michigan,33
New Jersey,33
Kentucky,33
Idaho,33
Kansas,32
Virginia,32
Massachusetts,32
California,31
Georgia,30
Pennsylvania,29
Mississippi,28
Florida,25
Indiana,25
New Mexico,25
Maine,24
Oklahoma,21
Louisiana,20
Tennessee,20
Arkansas,20
Alabama,10
Alaska,
Montana,
West Virginia,
Wyoming,
