Category: All categories

Region,overdose: (2018)
West Virginia,100
New Hampshire,81
Maine,81
Pennsylvania,77
Vermont,76
Ohio,76
Wyoming,76
Delaware,75
Kentucky,74
Rhode Island,74
Montana,73
Indiana,73
New York,73
Arizona,73
North Dakota,73
Tennessee,72
Idaho,71
Massachusetts,71
Wisconsin,70
New Mexico,70
Connecticut,69
Missouri,69
Colorado,68
Michigan,68
South Dakota,68
Alaska,68
Maryland,68
Arkansas,67
Oregon,65
Utah,65
Minnesota,65
Oklahoma,64
Washington,64
Kansas,63
New Jersey,63
Virginia,62
North Carolina,62
Alabama,61
Nebraska,61
Louisiana,61
Illinois,61
Texas,60
Georgia,60
Mississippi,58
California,58
Florida,58
South Carolina,57
Iowa,57
Nevada,57
District of Columbia,52
Hawaii,49
