Category: All categories

Region,overdose: (2006)
Alaska,100
Delaware,73
Oklahoma,72
Vermont,72
New Hampshire,71
Montana,68
Indiana,67
Tennessee,66
Kentucky,66
Pennsylvania,65
Maryland,62
Arkansas,62
Ohio,61
Rhode Island,61
Mississippi,61
Colorado,61
Oregon,61
Wyoming,60
South Carolina,60
Utah,60
Wisconsin,60
Michigan,59
South Dakota,59
West Virginia,58
New Mexico,58
Hawaii,58
Alabama,57
Louisiana,57
Maine,56
North Dakota,56
Texas,55
Washington,55
Virginia,54
Florida,54
Missouri,53
North Carolina,52
Massachusetts,52
Arizona,52
Kansas,51
New York,51
Georgia,51
Illinois,50
New Jersey,50
Connecticut,50
Minnesota,49
Nevada,49
Iowa,49
Idaho,48
District of Columbia,48
California,46
Nebraska,41
