Category: All categories

Region,overdose: (2016)
West Virginia,100
New Hampshire,95
Maine,87
Ohio,85
Vermont,82
Massachusetts,81
Pennsylvania,78
North Dakota,75
Indiana,71
Kentucky,71
Rhode Island,70
Michigan,69
Montana,68
Wyoming,67
New Mexico,67
Connecticut,66
South Dakota,64
Colorado,64
Alaska,64
New York,63
Missouri,63
Tennessee,62
Maryland,62
Minnesota,62
Arkansas,62
Wisconsin,62
Oklahoma,62
Delaware,62
Virginia,62
Mississippi,61
Washington,61
New Jersey,60
Utah,60
Idaho,60
Illinois,60
Nebraska,60
North Carolina,60
Arizona,59
Florida,59
Alabama,58
Kansas,58
Iowa,58
District of Columbia,58
Georgia,56
Nevada,55
Louisiana,54
Oregon,54
Texas,53
California,52
South Carolina,51
Hawaii,47
