Category: All categories

Region,overdose: (2015)
West Virginia,100
New Hampshire,99
Massachusetts,90
Maine,83
Montana,83
South Dakota,83
Vermont,82
Ohio,81
Alaska,81
Wyoming,79
Michigan,76
Idaho,75
New Mexico,74
Kentucky,74
Rhode Island,74
Pennsylvania,72
North Dakota,71
Oklahoma,70
Utah,70
Mississippi,69
Arkansas,69
Indiana,68
Connecticut,68
South Carolina,67
Nevada,67
Tennessee,67
Georgia,66
New York,65
Illinois,65
Nebraska,65
Wisconsin,64
Alabama,64
New Jersey,64
Iowa,64
North Carolina,63
Louisiana,63
Missouri,63
Texas,62
Washington,62
Colorado,62
District of Columbia,62
Arizona,62
Kansas,60
Delaware,58
Maryland,58
California,57
Florida,56
Hawaii,56
Minnesota,55
Oregon,54
Virginia,41
