Category: All categories

Region,overdose: (2007)
New Mexico,100
Maine,96
Kentucky,95
Alaska,90
Montana,90
New Hampshire,89
Mississippi,88
Iowa,88
Louisiana,88
Arkansas,87
Rhode Island,85
Oregon,84
Connecticut,83
West Virginia,82
Indiana,82
Utah,82
Alabama,81
Missouri,81
Vermont,80
Tennessee,80
Colorado,80
Wyoming,80
Michigan,79
Nevada,79
Pennsylvania,79
Arizona,78
Kansas,76
Nebraska,76
South Dakota,76
Idaho,75
Washington,74
Ohio,74
Wisconsin,74
Maryland,74
South Carolina,73
Hawaii,73
Florida,72
North Dakota,72
Oklahoma,71
Virginia,70
North Carolina,70
Illinois,70
Minnesota,70
Texas,68
Massachusetts,66
Georgia,66
Delaware,65
New York,65
New Jersey,64
District of Columbia,61
California,57
