Category: All categories

Region,overdose: (2020)
West Virginia,100
Maine,91
South Dakota,89
North Dakota,88
Wyoming,85
Alaska,85
Vermont,82
Indiana,81
Idaho,81
Rhode Island,81
Wisconsin,79
Montana,78
New Hampshire,78
Minnesota,77
Ohio,77
Delaware,77
Arizona,77
Kentucky,77
Tennessee,76
Pennsylvania,76
Colorado,75
Utah,75
Oregon,74
North Carolina,73
New Mexico,72
Oklahoma,72
Nebraska,72
Michigan,72
Arkansas,71
Georgia,71
Missouri,70
Massachusetts,70
Maryland,69
Washington,68
Kansas,68
New York,67
South Carolina,66
Illinois,66
Nevada,66
Iowa,65
Connecticut,65
Florida,65
Alabama,65
Virginia,64
Mississippi,64
Louisiana,63
Texas,63
California,62
New Jersey,60
Hawaii,57
District of Columbia,55
