Category: All categories

Region,drug policy: (2009)
Vermont,
South Dakota,
Idaho,100
New Mexico,87
District of Columbia,85
Maryland,76
Wyoming,
North Dakota,
Kentucky,70
Montana,
New Hampshire,60
Nevada,59
West Virginia,58
Oregon,57
Rhode Island,55
Alaska,
Pennsylvania,53
Tennessee,52
Delaware,
South Carolina,51
Hawaii,
Connecticut,49
Utah,48
Illinois,48
Washington,47
Massachusetts,47
Indiana,47
Wisconsin,46
Louisiana,45
Colorado,44
Maine,44
Kansas,42
New York,41
Ohio,40
Florida,38
Arizona,37
Alabama,36
Texas,36
Oklahoma,35
Missouri,34
New Jersey,34
Georgia,32
Nebraska,32
Michigan,32
North Carolina,31
Virginia,31
California,29
Minnesota,29
Mississippi,27
Arkansas,25
Iowa,
