Category: All categories

Region,drug policy: (2018)
District of Columbia,100
Vermont,
West Virginia,45
Oregon,44
Alaska,
Nevada,41
Colorado,41
North Dakota,
Oklahoma,37
Maryland,37
Iowa,36
Washington,36
Louisiana,34
Arkansas,34
Indiana,33
Alabama,33
South Carolina,33
Virginia,32
Hawaii,
Ohio,31
New York,31
New Mexico,30
Tennessee,29
Kentucky,29
Connecticut,29
Pennsylvania,29
Wyoming,
Massachusetts,28
Michigan,27
Arizona,27
Montana,
New Jersey,27
Mississippi,26
North Carolina,26
Utah,26
Rhode Island,26
New Hampshire,26
Missouri,25
Florida,25
Kansas,25
Texas,25
Georgia,25
Minnesota,25
Wisconsin,24
Illinois,24
California,24
Nebraska,21
South Dakota,
Idaho,20
Maine,20
Delaware,
