Category: All categories

Region,drug policy: (2015)
District of Columbia,100
Wyoming,
North Dakota,
Delaware,
South Dakota,
Idaho,79
Rhode Island,74
Alaska,
Montana,
Colorado,70
Ohio,68
Oregon,68
Connecticut,67
Alabama,67
Kentucky,66
Arkansas,66
Nebraska,64
New Mexico,64
New Hampshire,63
West Virginia,62
Maine,62
Louisiana,60
Maryland,60
Indiana,59
Nevada,59
Massachusetts,59
Pennsylvania,59
Missouri,56
Iowa,56
South Carolina,55
New Jersey,54
Minnesota,52
North Carolina,52
Arizona,52
New York,51
Wisconsin,51
Mississippi,50
Illinois,50
Washington,50
Oklahoma,48
Michigan,48
Texas,48
Georgia,47
Tennessee,47
Kansas,45
California,45
Virginia,45
Vermont,
Hawaii,
Florida,44
Utah,43
