Category: All categories

Region,drug policy: (2004)
South Dakota,
North Dakota,
Montana,
Iowa,100
Idaho,82
Alaska,
Louisiana,75
Arkansas,69
West Virginia,68
Indiana,67
Virginia,60
Maryland,58
District of Columbia,54
Alabama,54
Hawaii,
New Mexico,54
Maine,50
Connecticut,49
Mississippi,49
Oklahoma,49
New York,48
South Carolina,47
Nebraska,46
Minnesota,41
New Jersey,41
Georgia,41
Illinois,40
Michigan,39
Washington,39
Texas,39
California,39
North Carolina,38
Wisconsin,38
Oregon,37
Missouri,36
Ohio,35
Florida,35
Pennsylvania,33
Arizona,32
Kentucky,30
Colorado,24
Massachusetts,21
Kansas,20
Utah,17
Tennessee,14
Delaware,
New Hampshire,
Nevada,
Rhode Island,
Vermont,
Wyoming,
