Category: All categories

Region,drug policy: (2005)
West Virginia,100
Oklahoma,88
Montana,
District of Columbia,80
Mississippi,69
Kentucky,69
Maine,67
Maryland,61
Louisiana,60
Idaho,57
Michigan,57
Arkansas,50
Rhode Island,48
South Carolina,46
New York,46
Vermont,
Virginia,43
North Carolina,43
Connecticut,42
Missouri,41
New Mexico,41
New Jersey,40
Indiana,39
Ohio,38
Iowa,38
Colorado,38
Tennessee,36
Hawaii,
Washington,35
Illinois,34
Massachusetts,33
Minnesota,32
Florida,32
Alabama,32
Pennsylvania,31
Arizona,30
California,30
Kansas,30
Oregon,28
Texas,27
New Hampshire,26
Nevada,25
Georgia,24
Nebraska,23
Wisconsin,20
Alaska,
Delaware,
North Dakota,
South Dakota,
Utah,
Wyoming,
