Category: All categories

Region,drug policy: (2010)
West Virginia,100
New Mexico,97
Idaho,70
South Dakota,
Montana,
Arkansas,60
District of Columbia,57
Kansas,57
Indiana,52
Maryland,50
Oklahoma,49
New Hampshire,45
Oregon,42
Delaware,
Colorado,42
North Carolina,42
New York,41
North Dakota,
Louisiana,40
Kentucky,39
Missouri,39
Iowa,39
Rhode Island,39
Michigan,37
Pennsylvania,37
Ohio,36
Massachusetts,35
Wisconsin,34
Nebraska,34
New Jersey,34
Minnesota,34
Arizona,34
Florida,33
Tennessee,33
Texas,32
Nevada,32
Georgia,32
Illinois,31
Washington,31
Connecticut,30
Mississippi,30
South Carolina,28
Vermont,
Hawaii,
Alabama,23
Maine,22
Virginia,21
California,21
Utah,17
Alaska,
Wyoming,
