Category: All categories

Region,drug policy: (2014)
District of Columbia,100
Delaware,
North Dakota,
New Mexico,69
West Virginia,67
Ohio,67
Colorado,63
South Dakota,
Maryland,57
New Hampshire,56
Montana,
Wyoming,
Iowa,55
Pennsylvania,55
Massachusetts,54
Idaho,52
Indiana,52
Missouri,51
Louisiana,50
Connecticut,50
Minnesota,49
Michigan,49
Illinois,48
Rhode Island,48
Oklahoma,47
Kentucky,47
Arkansas,47
New Jersey,47
Washington,46
Nebraska,46
Hawaii,
Wisconsin,45
Maine,44
Kansas,44
Alabama,44
Arizona,44
North Carolina,43
Vermont,
New York,43
Mississippi,43
Nevada,40
Tennessee,40
Alaska,
Texas,39
South Carolina,38
Georgia,38
Florida,36
California,35
Virginia,35
Utah,33
Oregon,33
