Category: All categories

Region,conversion therapy: (2016)
North Dakota,100
Rhode Island,95
Vermont,85
New Hampshire,83
Maine,78
South Dakota,75
Massachusetts,72
Kansas,72
District of Columbia,70
Delaware,68
Indiana,68
Pennsylvania,68
Ohio,67
Washington,65
Connecticut,62
Iowa,60
Minnesota,59
Missouri,59
Kentucky,59
Maryland,59
West Virginia,57
New York,57
Oregon,55
Colorado,55
Wisconsin,55
Montana,55
Michigan,54
Wyoming,54
Oklahoma,52
Nebraska,52
New Jersey,52
Illinois,50
Hawaii,50
Virginia,50
California,47
Arkansas,45
Arizona,45
Tennessee,44
Louisiana,42
South Carolina,42
Florida,42
Idaho,40
North Carolina,40
New Mexico,40
Utah,40
Alabama,39
Georgia,37
Alaska,37
Texas,37
Mississippi,31
Nevada,21
