Category: All categories

Region,conversion therapy: (2021)
Minnesota,100
Vermont,93
West Virginia,87
Nebraska,76
Oklahoma,72
Idaho,70
Utah,69
Kentucky,66
New Hampshire,52
Alaska,50
North Dakota,49
Michigan,47
Kansas,47
Iowa,47
Wisconsin,46
Washington,46
South Carolina,43
Missouri,40
Ohio,40
Oregon,40
Hawaii,38
Arizona,38
Pennsylvania,36
Connecticut,36
Massachusetts,36
Nevada,36
Virginia,36
Maryland,36
Colorado,35
California,33
Illinois,33
Maine,32
Indiana,32
North Carolina,32
South Dakota,30
Louisiana,30
Tennessee,29
New York,29
District of Columbia,29
Mississippi,29
Arkansas,29
New Jersey,27
Texas,27
Alabama,27
Georgia,27
New Mexico,26
Florida,26
Delaware,24
Montana,24
Rhode Island,15
Wyoming,
