Category: All categories

Region,conversion therapy: (2014)
North Dakota,100
Maine,69
Utah,47
Indiana,43
New Hampshire,43
Mississippi,39
Montana,39
Tennessee,39
Alabama,39
Connecticut,34
Maryland,34
Rhode Island,30
Idaho,30
Washington,30
Minnesota,30
Pennsylvania,26
Colorado,26
Nevada,26
North Carolina,26
Massachusetts,26
West Virginia,26
New York,21
Iowa,21
District of Columbia,21
Illinois,21
Louisiana,21
Wisconsin,21
Texas,21
California,21
South Carolina,21
Arizona,21
Florida,21
Missouri,21
Ohio,17
New Jersey,17
Kansas,17
Georgia,17
Arkansas,17
Virginia,13
Kentucky,13
Oregon,13
Michigan,8
Alaska,
Delaware,
Hawaii,
Nebraska,
New Mexico,
Oklahoma,
South Dakota,
Vermont,
Wyoming,
