Category: All categories

Region,conversion therapy: (2013)
West Virginia,100
Wyoming,96
Vermont,68
New Jersey,46
Nebraska,40
South Carolina,37
Kentucky,34
Maryland,31
Washington,31
Indiana,28
Utah,28
Delaware,25
Iowa,25
District of Columbia,25
Minnesota,25
New York,21
Arizona,21
Louisiana,21
Massachusetts,21
Pennsylvania,18
Georgia,18
Michigan,18
Virginia,18
Wisconsin,18
Colorado,18
Ohio,18
Nevada,18
North Carolina,15
California,15
Maine,15
Illinois,15
Missouri,15
Connecticut,15
Oregon,12
Texas,12
Kansas,12
Florida,12
Arkansas,12
Alabama,9
Tennessee,9
Oklahoma,9
Mississippi,6
Alaska,
Hawaii,
Idaho,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
