Category: All categories

Region,conversion therapy: (2012)
New Mexico,100
Iowa,69
Idaho,60
Oklahoma,43
Hawaii,39
West Virginia,39
Montana,39
Tennessee,39
Kansas,34
Alabama,34
California,30
Utah,30
Washington,30
Kentucky,30
Nevada,26
Oregon,26
New York,26
Arizona,21
District of Columbia,21
New Hampshire,21
Indiana,21
New Jersey,21
Minnesota,21
Michigan,21
Maryland,21
Georgia,21
Pennsylvania,17
Virginia,17
Illinois,17
Wisconsin,17
North Carolina,17
Massachusetts,17
Connecticut,17
Ohio,13
Texas,13
Louisiana,13
Florida,13
Missouri,13
Colorado,4
Alaska,
Arkansas,
Delaware,
Maine,
Mississippi,
North Dakota,
Nebraska,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wyoming,
