Category: All categories

Region,conversion therapy: (2009)
Montana,100
Nebraska,81
Alaska,77
Idaho,57
Oklahoma,50
South Carolina,44
Utah,25
Connecticut,20
Alabama,16
Minnesota,12
Kentucky,11
Indiana,9
District of Columbia,9
Pennsylvania,9
Virginia,9
Ohio,7
Illinois,7
Michigan,7
New Jersey,5
New York,5
Georgia,5
Massachusetts,3
Texas,1
California,1
Arkansas,
Arizona,
Colorado,
Delaware,
Florida,
Hawaii,
Iowa,
Kansas,
Louisiana,
Maryland,
Maine,
Missouri,
Mississippi,
North Carolina,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
