Category: All categories

Region,carbon monoxide poisoning: (2008)
New Hampshire,100
Montana,100
Rhode Island,81
Alaska,80
South Dakota,73
West Virginia,71
Nebraska,71
New Mexico,66
Vermont,66
Maine,57
Oklahoma,52
Kansas,47
Indiana,47
Kentucky,41
Utah,39
Michigan,39
Missouri,37
Pennsylvania,35
Colorado,35
Ohio,35
Tennessee,34
Connecticut,33
Massachusetts,33
Minnesota,33
Iowa,33
Arkansas,32
Arizona,32
Wisconsin,32
South Carolina,31
Maryland,29
New York,29
North Carolina,29
Hawaii,28
Oregon,28
Illinois,28
Louisiana,24
Washington,24
Texas,24
District of Columbia,24
New Jersey,23
Virginia,22
Idaho,22
Georgia,22
Alabama,20
California,16
Florida,15
Mississippi,14
Nevada,14
Delaware,
North Dakota,
Wyoming,
