Category: All categories

Region,carbon monoxide poisoning: (2019)
South Dakota,100
North Dakota,85
West Virginia,77
Nebraska,74
Alaska,74
Minnesota,72
Utah,70
Iowa,70
Michigan,68
Wisconsin,66
Idaho,64
Indiana,63
New Hampshire,62
Ohio,61
Wyoming,61
Montana,60
Kentucky,58
Missouri,57
Rhode Island,55
Kansas,55
Oklahoma,54
Colorado,53
New Mexico,51
Maine,49
Pennsylvania,49
Illinois,48
Arkansas,47
Delaware,45
Tennessee,42
Louisiana,42
Maryland,40
Massachusetts,40
Alabama,39
New York,39
Virginia,39
Connecticut,38
Washington,38
South Carolina,38
Mississippi,37
Vermont,37
Oregon,37
Texas,35
New Jersey,35
North Carolina,34
Arizona,33
Georgia,33
California,32
Nevada,32
Florida,31
District of Columbia,26
Hawaii,23
