Category: All categories

Region,carbon monoxide poisoning: (2012)
Utah,100
Nebraska,97
South Dakota,95
Wyoming,90
Maine,90
Vermont,90
New Hampshire,83
Delaware,80
Colorado,80
Oklahoma,80
Pennsylvania,78
North Dakota,78
Missouri,77
Wisconsin,74
Alaska,74
Indiana,73
Ohio,71
West Virginia,71
Minnesota,69
Iowa,67
New Mexico,67
Montana,66
Kentucky,64
Connecticut,64
Rhode Island,64
Michigan,64
Idaho,64
Illinois,61
Tennessee,61
Massachusetts,60
New Jersey,59
Kansas,59
District of Columbia,59
Washington,56
Maryland,54
Virginia,54
New York,54
Arkansas,47
Georgia,47
Oregon,47
North Carolina,46
Nevada,45
Arizona,45
Alabama,45
California,42
Florida,42
Mississippi,40
Texas,39
Louisiana,35
South Carolina,33
Hawaii,12
