Category: All categories

Region,carbon monoxide poisoning: (2010)
North Dakota,100
New Mexico,47
West Virginia,42
Iowa,30
New Hampshire,30
Vermont,29
Idaho,29
Indiana,28
Michigan,27
Utah,26
Kansas,26
Nebraska,25
Oklahoma,25
Pennsylvania,24
Colorado,23
Wisconsin,23
Maine,23
Missouri,22
Kentucky,22
Maryland,21
South Dakota,21
Ohio,20
Arkansas,19
Montana,19
North Carolina,18
Alabama,18
Minnesota,18
Alaska,17
New York,17
Tennessee,17
Georgia,16
Massachusetts,16
New Jersey,15
Washington,15
Texas,15
South Carolina,14
Connecticut,14
Illinois,13
Arizona,13
Florida,13
Oregon,13
Wyoming,12
Rhode Island,12
Nevada,11
District of Columbia,11
Mississippi,11
Louisiana,9
Virginia,8
California,7
Delaware,
Hawaii,
