Category: All categories

Region,carbon monoxide poisoning: (2006)
Wyoming,100
Alaska,44
Iowa,44
Delaware,42
Utah,37
North Dakota,35
New Mexico,33
South Dakota,29
Kentucky,28
Indiana,28
Rhode Island,28
Maine,27
New Hampshire,26
Michigan,26
Washington,26
Illinois,25
Missouri,25
Hawaii,25
Ohio,24
Connecticut,24
Mississippi,23
Massachusetts,23
Oklahoma,23
Louisiana,22
Nevada,22
Minnesota,21
Maryland,21
South Carolina,21
Virginia,19
Wisconsin,19
District of Columbia,19
Georgia,18
Tennessee,18
Alabama,18
Colorado,18
Pennsylvania,18
New Jersey,18
Arizona,18
Texas,15
Idaho,14
New York,14
Kansas,14
Oregon,13
North Carolina,13
California,13
Florida,11
Arkansas,
Montana,
Nebraska,
Vermont,
West Virginia,
