Category: All categories

Region,carbon monoxide poisoning: (2009)
Montana,100
Wyoming,66
New Mexico,62
Maine,51
Alaska,44
Vermont,44
Rhode Island,43
South Dakota,42
Nebraska,42
Minnesota,42
Colorado,41
Kentucky,40
Kansas,40
Utah,39
Wisconsin,35
Arkansas,35
Indiana,35
Iowa,34
Louisiana,33
Michigan,32
Pennsylvania,30
West Virginia,28
Oklahoma,28
Massachusetts,27
Tennessee,27
Illinois,27
Missouri,27
Ohio,26
Idaho,26
New Jersey,25
Washington,25
Maryland,23
New York,23
Arizona,22
Texas,22
North Carolina,20
Georgia,20
District of Columbia,20
Connecticut,18
Mississippi,18
Alabama,17
New Hampshire,17
Oregon,15
South Carolina,14
Florida,14
Nevada,13
Virginia,12
California,11
Hawaii,6
Delaware,
North Dakota,
