Category: All categories

Region,carbon monoxide poisoning: (2007)
West Virginia,100
Maine,54
Montana,53
North Dakota,39
Oklahoma,36
Rhode Island,35
South Dakota,31
Delaware,29
Utah,26
Iowa,26
Wyoming,25
Colorado,24
Idaho,22
Minnesota,22
Ohio,21
Kentucky,21
Virginia,21
New Hampshire,20
Missouri,20
North Carolina,19
Wisconsin,19
Illinois,19
Connecticut,19
Oregon,18
Mississippi,17
Tennessee,17
New Jersey,15
Maryland,15
Massachusetts,15
Washington,14
Kansas,14
Arizona,14
Georgia,14
Alaska,14
Nevada,14
New Mexico,14
New York,14
Pennsylvania,13
Arkansas,13
Indiana,13
Texas,13
Michigan,12
District of Columbia,11
Florida,11
California,11
Louisiana,5
Alabama,
Hawaii,
Nebraska,
South Carolina,
Vermont,
