Category: All categories

Region,carbon monoxide poisoning: (2013)
Wyoming,100
Utah,88
Nebraska,86
Rhode Island,85
North Dakota,82
South Dakota,74
Montana,73
Idaho,71
Oklahoma,71
Wisconsin,70
New Mexico,68
West Virginia,68
Colorado,67
Maine,67
Minnesota,66
Pennsylvania,64
Connecticut,62
Missouri,61
Kansas,61
Michigan,61
New Hampshire,61
Alabama,60
Arkansas,60
Kentucky,59
Massachusetts,59
Vermont,57
Illinois,55
Tennessee,55
Iowa,53
Indiana,50
Nevada,50
Ohio,50
Mississippi,49
North Carolina,48
District of Columbia,46
Maryland,46
Virginia,46
New Jersey,46
Louisiana,44
Washington,43
Arizona,42
Georgia,40
South Carolina,40
New York,39
Texas,35
California,34
Florida,34
Alaska,33
Delaware,33
Oregon,28
Hawaii,22
