Category: All categories

Region,carbon monoxide poisoning: (2011)
Wyoming,100
Montana,74
Maine,74
South Dakota,73
Iowa,66
Vermont,64
New Hampshire,62
Idaho,61
Nebraska,60
Kentucky,60
Utah,59
West Virginia,59
Indiana,57
Ohio,55
North Dakota,55
Michigan,54
Colorado,53
Kansas,53
Minnesota,51
Oklahoma,49
Missouri,48
Maryland,47
Wisconsin,47
Massachusetts,46
Alaska,46
New Mexico,45
Nevada,45
Connecticut,45
Pennsylvania,45
Rhode Island,45
New Jersey,40
Mississippi,39
Alabama,39
District of Columbia,38
Virginia,38
Illinois,38
New York,38
Arkansas,37
North Carolina,37
Washington,35
Louisiana,32
Georgia,32
Oregon,32
Arizona,30
Tennessee,30
Texas,30
Delaware,30
Hawaii,30
California,30
Florida,26
South Carolina,22
