Category: All categories

Region,carbon monoxide poisoning: (2004)
West Virginia,100
Iowa,28
Mississippi,25
Kentucky,16
Utah,16
Wisconsin,16
Connecticut,15
Arkansas,14
Oklahoma,13
Colorado,13
Indiana,12
Alabama,12
Louisiana,11
New York,11
Rhode Island,10
Minnesota,10
Illinois,10
Missouri,10
Ohio,9
Michigan,9
Arizona,8
Georgia,8
Pennsylvania,8
Texas,7
Kansas,7
Tennessee,7
Maryland,7
Massachusetts,7
Virginia,6
New Jersey,6
California,6
District of Columbia,5
Washington,4
North Carolina,4
Florida,3
Alaska,
Delaware,
Hawaii,
Idaho,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oregon,
South Carolina,
South Dakota,
Vermont,
Wyoming,
