Category: All categories

Region,carbon monoxide poisoning: (2005)
Vermont,100
North Dakota,79
Idaho,52
Maine,48
Kansas,48
Utah,42
New Hampshire,40
Wisconsin,40
Missouri,39
Montana,39
West Virginia,39
Hawaii,35
Iowa,34
New Mexico,31
Indiana,30
Massachusetts,28
Alaska,28
Oklahoma,27
Minnesota,27
Ohio,26
Michigan,22
Illinois,21
Colorado,20
Maryland,20
Connecticut,20
Georgia,20
Washington,19
Virginia,19
Nevada,17
Texas,16
New York,16
North Carolina,14
Pennsylvania,13
Florida,13
Arizona,13
New Jersey,13
California,12
Tennessee,11
Oregon,11
District of Columbia,5
Alabama,
Arkansas,
Delaware,
Kentucky,
Louisiana,
Mississippi,
Nebraska,
Rhode Island,
South Carolina,
South Dakota,
Wyoming,
