Category: All categories

Region,carbon monoxide poisoning: (2015)
South Dakota,100
Maine,91
New Hampshire,83
Wyoming,82
Vermont,81
Iowa,79
North Dakota,79
Utah,77
Nebraska,72
Michigan,72
Minnesota,70
Montana,69
Wisconsin,68
Rhode Island,66
West Virginia,65
Ohio,61
Colorado,59
Massachusetts,59
Arkansas,59
Kansas,58
Pennsylvania,56
Indiana,56
Idaho,54
Missouri,53
New Mexico,52
Tennessee,52
Connecticut,51
Illinois,51
District of Columbia,50
Kentucky,50
North Carolina,46
Maryland,45
South Carolina,45
Delaware,45
Georgia,44
Washington,44
Oklahoma,43
Mississippi,43
New Jersey,43
New York,41
Louisiana,39
Alabama,39
Nevada,37
Florida,36
Texas,36
Alaska,34
California,32
Oregon,32
Arizona,30
Hawaii,30
Virginia,27
