Category: All categories

Region,carbon monoxide poisoning: (2014)
Wyoming,100
North Dakota,97
Idaho,94
Utah,92
Maine,88
Nebraska,87
West Virginia,86
Minnesota,73
Iowa,73
New Mexico,72
Vermont,68
Ohio,68
Wisconsin,65
Michigan,65
Pennsylvania,65
New Hampshire,61
Indiana,61
Colorado,61
Alabama,61
Missouri,57
Mississippi,57
Oklahoma,57
South Dakota,56
Illinois,55
Massachusetts,53
Kansas,52
Alaska,52
North Carolina,52
Tennessee,51
Kentucky,51
Rhode Island,51
Louisiana,50
Delaware,49
Connecticut,47
Maryland,46
New Jersey,46
New York,44
Montana,43
South Carolina,42
Hawaii,41
District of Columbia,41
Washington,41
Arkansas,38
Nevada,36
Georgia,36
Arizona,33
Florida,33
Texas,30
Oregon,30
California,30
Virginia,30
