Category: All categories

Region,carbon monoxide poisoning: (2021)
North Dakota,100
South Dakota,78
Minnesota,62
Maine,59
Alaska,58
Vermont,58
Wyoming,58
Iowa,57
Kansas,56
Nebraska,55
Michigan,55
Montana,53
Oklahoma,52
West Virginia,52
New Mexico,50
Louisiana,50
Idaho,48
Arkansas,48
Indiana,47
Missouri,47
Utah,46
Wisconsin,46
Ohio,45
Colorado,44
Texas,44
Kentucky,44
Delaware,43
Oregon,41
Illinois,41
New Hampshire,40
District of Columbia,39
Pennsylvania,38
Mississippi,37
Tennessee,36
Washington,35
Connecticut,34
Massachusetts,34
Maryland,33
Alabama,32
North Carolina,32
Rhode Island,31
Nevada,31
New Jersey,29
South Carolina,28
Virginia,28
Arizona,28
Georgia,27
New York,27
California,26
Hawaii,25
Florida,22
