Category: All categories

Region,painless death: (2017)
South Dakota,
Arkansas,
Indiana,
West Virginia,
New Hampshire,
Nevada,
Utah,
Missouri,
South Carolina,
Alabama,
Iowa,
Mississippi,
Connecticut,
Wisconsin,
Oregon,
Florida,100
Pennsylvania,
Arizona,
Oklahoma,
New York,100
District of Columbia,
California,100
North Carolina,
Washington,
Ohio,100
Illinois,50
Texas,50
Maryland,
Kentucky,
Kansas,
Georgia,
New Jersey,50
Virginia,
Tennessee,
Michigan,
Colorado,
Massachusetts,
Louisiana,
Minnesota,
Alaska,
Delaware,
Hawaii,
Idaho,
Maine,
Montana,
North Dakota,
Nebraska,
New Mexico,
Rhode Island,
Vermont,
Wyoming,
