Category: All categories

Region,painless death: (2015)
North Dakota,
Arkansas,
Iowa,
Alaska,
Nevada,
Kansas,
Mississippi,
Ohio,100
South Carolina,
Maine,
Connecticut,
Minnesota,
District of Columbia,
New Mexico,
North Carolina,
Oregon,
Michigan,
Nebraska,
Pennsylvania,
New Jersey,50
Colorado,
New York,50
Georgia,
Kentucky,
Massachusetts,
Alabama,
Missouri,
Oklahoma,
Virginia,
Indiana,
California,33
Texas,33
Utah,
Illinois,33
Maryland,
Tennessee,
Florida,33
Washington,
Wisconsin,
Arizona,
Delaware,
Hawaii,
Idaho,
Louisiana,
Montana,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
