Category: All categories

Region,painless death: (2013)
North Dakota,
Alaska,
West Virginia,
Montana,
Maine,
Hawaii,
New Mexico,
Mississippi,
Wisconsin,
Kansas,
Pennsylvania,
Colorado,
District of Columbia,
Arkansas,
New Jersey,100
Massachusetts,
Ohio,100
Missouri,
Indiana,
California,75
Washington,
Alabama,
Virginia,
Tennessee,
Illinois,75
Texas,75
Florida,75
Georgia,
Nevada,
New York,75
Utah,
North Carolina,
Kentucky,
Louisiana,
Michigan,
Minnesota,
Maryland,
Arizona,
Oregon,
Connecticut,
Delaware,
Iowa,
Idaho,
Nebraska,
New Hampshire,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wyoming,
