Category: All categories

Region,painless death: (2014)
South Dakota,
North Dakota,
Rhode Island,
New Mexico,
Oklahoma,
Louisiana,
South Carolina,
Washington,
North Carolina,
Pennsylvania,
Minnesota,
Massachusetts,
Ohio,100
Colorado,
Wisconsin,
Alabama,
New York,100
Florida,100
Arizona,
Missouri,
Indiana,
California,100
Michigan,
New Jersey,75
Kentucky,
Tennessee,
Georgia,
Texas,75
Virginia,
Hawaii,
District of Columbia,
Illinois,50
Nevada,
Oregon,
Alaska,
Arkansas,
Connecticut,
Delaware,
Iowa,
Idaho,
Kansas,
Maryland,
Maine,
Mississippi,
Montana,
Nebraska,
New Hampshire,
Utah,
Vermont,
West Virginia,
Wyoming,
