Category: All categories

Region,painless death: (2008)
Delaware,
South Dakota,
Idaho,
Nevada,
New Mexico,
South Carolina,
Connecticut,
Colorado,
Washington,
Tennessee,
Ohio,100
Minnesota,
Arizona,
Pennsylvania,
Florida,60
California,60
Maryland,
New York,60
Texas,60
Missouri,
Massachusetts,
North Carolina,
Virginia,
Illinois,20
Alaska,
Alabama,
Arkansas,
District of Columbia,
Georgia,
Hawaii,
Iowa,
Indiana,
Kansas,
Kentucky,
Louisiana,
Maine,
Michigan,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
Oklahoma,
Oregon,
Rhode Island,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
