Category: All categories

Region,drugs: (2017)
Hawaii,100
Vermont,64
Mississippi,56
Alabama,50
Louisiana,50
West Virginia,48
Kentucky,43
Tennessee,42
Washington,40
Idaho,40
Ohio,39
Indiana,39
Arkansas,39
South Carolina,39
New York,38
Pennsylvania,38
Arizona,38
Minnesota,37
Illinois,37
North Carolina,37
Michigan,37
New Jersey,36
Georgia,36
Massachusetts,36
South Dakota,36
Maine,35
Maryland,35
Florida,35
Missouri,35
Colorado,35
Connecticut,35
Virginia,35
Nebraska,34
Oregon,34
New Mexico,34
Nevada,34
Oklahoma,34
Montana,34
Rhode Island,33
New Hampshire,33
Iowa,33
Alaska,33
California,33
Wisconsin,33
Wyoming,33
North Dakota,32
District of Columbia,32
Delaware,32
Texas,31
Utah,30
Kansas,30
