Category: All categories

Region,drugs: (2019)
Hawaii,100
Vermont,55
Mississippi,47
Alabama,44
Kentucky,37
West Virginia,36
Washington,35
Tennessee,35
Louisiana,34
Arkansas,33
New York,32
Indiana,32
Ohio,31
New Jersey,30
Connecticut,30
New Hampshire,30
South Carolina,30
Georgia,30
Pennsylvania,30
Missouri,29
Massachusetts,29
North Carolina,29
District of Columbia,29
Illinois,29
Michigan,29
Maine,29
Minnesota,29
Arizona,28
Idaho,28
Kansas,28
Maryland,28
South Dakota,28
Virginia,28
Wisconsin,27
Nebraska,27
New Mexico,27
Colorado,27
Alaska,27
Iowa,27
California,27
Oregon,27
Oklahoma,27
Rhode Island,26
Montana,26
Delaware,26
North Dakota,26
Florida,26
Wyoming,26
Nevada,26
Utah,25
Texas,24
