Category: All categories

Region,drugs: (2010)
Hawaii,100
Washington,86
West Virginia,80
Delaware,80
North Carolina,74
Mississippi,71
Arkansas,71
Pennsylvania,71
Kentucky,71
Tennessee,71
Indiana,70
Wyoming,69
Montana,68
New Hampshire,67
New Mexico,67
Connecticut,66
Michigan,66
Ohio,66
Iowa,66
South Dakota,66
Illinois,66
Arizona,66
Louisiana,65
Florida,64
Alabama,64
Nebraska,64
Georgia,64
New York,64
Rhode Island,63
Missouri,63
North Dakota,63
Wisconsin,63
Vermont,62
Maryland,62
Maine,61
Minnesota,60
Colorado,60
New Jersey,59
South Carolina,59
Kansas,58
Oklahoma,58
Utah,58
Idaho,58
Texas,57
Oregon,56
Massachusetts,56
District of Columbia,56
Nevada,56
Alaska,52
California,39
Virginia,35
