Category: All categories

Region,drugs: (2012)
Hawaii,100
Vermont,61
Mississippi,56
Alabama,53
Kentucky,51
West Virginia,49
Indiana,48
Pennsylvania,46
Louisiana,46
Tennessee,45
Washington,45
New Jersey,44
Delaware,44
South Carolina,44
South Dakota,43
North Carolina,43
Missouri,43
Michigan,43
Florida,42
New York,42
Maryland,42
Massachusetts,41
Ohio,41
Oregon,41
Arkansas,41
Montana,41
Illinois,41
Georgia,40
Virginia,40
North Dakota,40
Connecticut,40
California,39
Nevada,39
Wisconsin,39
Arizona,38
Maine,38
Rhode Island,38
Wyoming,38
Oklahoma,38
Kansas,38
Minnesota,38
Texas,37
New Mexico,37
Iowa,37
Idaho,37
Alaska,37
Utah,36
District of Columbia,36
Colorado,36
New Hampshire,35
Nebraska,34
