Category: All categories

Region,drugs: (2016)
Hawaii,100
Vermont,59
Mississippi,54
Alabama,52
West Virginia,49
Washington,44
Kentucky,44
Pennsylvania,43
Tennessee,43
Louisiana,42
New York,42
Georgia,39
New Jersey,39
Minnesota,39
Indiana,39
Ohio,39
Arizona,39
Missouri,38
Michigan,38
Arkansas,38
New Mexico,37
North Carolina,37
South Carolina,37
Massachusetts,36
Maine,36
Oklahoma,36
Connecticut,36
Florida,36
Maryland,35
District of Columbia,35
North Dakota,35
New Hampshire,35
Montana,35
Illinois,34
South Dakota,34
Nevada,34
Wisconsin,34
Delaware,34
Virginia,34
Oregon,33
Iowa,33
Rhode Island,33
Colorado,33
Alaska,33
Nebraska,33
Texas,32
Idaho,31
Wyoming,31
Kansas,31
California,31
Utah,30
