Category: All categories

Region,drugs: (2018)
Hawaii,100
Vermont,58
Alabama,46
Mississippi,46
West Virginia,38
New York,38
Kentucky,38
Tennessee,35
Washington,35
Louisiana,35
Arkansas,34
Pennsylvania,33
Indiana,33
North Carolina,32
Arizona,32
Ohio,32
New Jersey,31
Michigan,31
Massachusetts,31
South Carolina,31
Maryland,30
Georgia,30
Wisconsin,30
Idaho,30
Oregon,30
Maine,30
South Dakota,30
Connecticut,30
Wyoming,30
Kansas,29
New Hampshire,29
Illinois,29
Minnesota,29
Missouri,29
Iowa,29
Virginia,29
North Dakota,29
Oklahoma,28
Florida,28
Colorado,28
Alaska,28
Nevada,27
Delaware,27
New Mexico,27
Montana,27
Utah,27
Rhode Island,26
Texas,26
California,26
Nebraska,25
District of Columbia,24
