Category: All categories

Region,drugs: (2020)
Hawaii,100
Vermont,62
Mississippi,41
Alabama,38
Washington,33
Kentucky,33
Louisiana,33
West Virginia,31
New York,30
Tennessee,29
Georgia,28
Michigan,27
Indiana,27
Arkansas,27
Connecticut,26
Ohio,26
Oregon,26
New Jersey,26
Missouri,26
Nevada,26
Maine,26
Colorado,26
Pennsylvania,26
Massachusetts,25
Arizona,25
Nebraska,25
North Carolina,25
North Dakota,25
Minnesota,25
South Carolina,25
Kansas,25
Virginia,25
Maryland,25
South Dakota,25
Iowa,25
Illinois,25
Florida,24
Oklahoma,24
Wyoming,24
Utah,24
New Hampshire,24
Wisconsin,23
Idaho,23
Alaska,23
Delaware,23
Montana,23
California,23
Texas,23
New Mexico,22
Rhode Island,22
District of Columbia,21
